Time,KE3632
1-Jan-83,0
2-Jan-83,0
3-Jan-83,0
10-Jan-83,0
11-Jan-83,0
12-Jan-83,0
13-Jan-83,0
14-Jan-83,0
15-Jan-83,0
23-Jan-83,0
29-Jan-83,0
1-Feb-83,0
2-Feb-83,0
3-Feb-83,13.98795
4-Feb-83,0
5-Feb-83,0
6-Feb-83,0
7-Feb-83,0
8-Feb-83,0
9-Feb-83,0
10-Feb-83,0
12-Feb-83,110.4829
13-Feb-83,1.418419
14-Feb-83,0.8145719
16-Feb-83,0
17-Feb-83,5.988633
19-Feb-83,21.78414
20-Feb-83,0
21-Feb-83,0
22-Feb-83,0
23-Feb-83,0
24-Feb-83,0
25-Feb-83,0
26-Feb-83,0
27-Feb-83,0
28-Feb-83,0
1-Mar-83,0
2-Mar-83,0
3-Mar-83,0
4-Mar-83,0
5-Mar-83,0
6-Mar-83,0
7-Mar-83,0
8-Mar-83,0
9-Mar-83,0
10-Mar-83,0
11-Mar-83,0
12-Mar-83,0
13-Mar-83,5.968428
14-Mar-83,0.6489958
15-Mar-83,4.623558
16-Mar-83,0
17-Mar-83,9.594797
18-Mar-83,0
19-Mar-83,0
20-Mar-83,0
21-Mar-83,0
22-Mar-83,0
23-Mar-83,0
24-Mar-83,0
25-Mar-83,3.069041
26-Mar-83,2.609011
27-Mar-83,6.371428
28-Mar-83,7.890074
29-Mar-83,3.403895
31-Mar-83,16.08389
1-Apr-83,0
2-Apr-83,5.067225
3-Apr-83,8.133401
4-Apr-83,0
5-Apr-83,6.306176
6-Apr-83,1.996114
7-Apr-83,8.770308
9-Apr-83,4.178762
10-Apr-83,2.444365
11-Apr-83,17.01872
12-Apr-83,6.821904
13-Apr-83,0
14-Apr-83,5.533003
15-Apr-83,19.72029
16-Apr-83,16.34064
17-Apr-83,19.43048
18-Apr-83,0
19-Apr-83,4.390505
20-Apr-83,0
21-Apr-83,6.538544
22-Apr-83,6.183137
23-Apr-83,0
24-Apr-83,0
1-May-83,9.862526
2-May-83,4.980816
3-May-83,13.12488
4-May-83,0
5-May-83,4.817522
6-May-83,23.9515
7-May-83,38.4408
8-May-83,15.22431
9-May-83,13.32906
10-May-83,24.57203
11-May-83,15.08877
12-May-83,0
13-May-83,0
14-May-83,5.3627
15-May-83,0
16-May-83,0
17-May-83,2.043575
18-May-83,5.344787
19-May-83,9.215101
20-May-83,1.649944
21-May-83,0
22-May-83,4.983505
23-May-83,7.588544
24-May-83,20.60015
25-May-83,28.52034
26-May-83,0
27-May-83,0
28-May-83,0
29-May-83,0
30-May-83,4.863402
31-May-83,32.71085
1-Jun-83,0
2-Jun-83,3.868326
3-Jun-83,0
4-Jun-83,0
5-Jun-83,9.414738
6-Jun-83,7.691504
7-Jun-83,0
8-Jun-83,0
9-Jun-83,0
10-Jun-83,0
11-Jun-83,0
12-Jun-83,0
13-Jun-83,86.45038
15-Jun-83,0
16-Jun-83,16.91307
17-Jun-83,5.83529
19-Jun-83,0
20-Jun-83,6.022759
21-Jun-83,25.17542
22-Jun-83,0
23-Jun-83,0
24-Jun-83,0
25-Jun-83,0
26-Jun-83,0
27-Jun-83,0
28-Jun-83,0
29-Jun-83,0
2-Jul-83,0
3-Jul-83,0
4-Jul-83,0
5-Jul-83,0
6-Jul-83,0
7-Jul-83,0
8-Jul-83,0
9-Jul-83,42.35275
10-Jul-83,0
11-Jul-83,0
13-Jul-83,12.14305
14-Jul-83,0
15-Jul-83,0
17-Jul-83,0
18-Jul-83,0
19-Jul-83,0
21-Jul-83,0
23-Jul-83,0
24-Jul-83,0
25-Jul-83,0
26-Jul-83,0
27-Jul-83,0
28-Jul-83,8.320822
29-Jul-83,0
30-Jul-83,0
31-Jul-83,10.11523
1-Aug-83,5.020159
2-Aug-83,0
3-Aug-83,0
4-Aug-83,0
5-Aug-83,7.277098
6-Aug-83,3.930928
7-Aug-83,0
8-Aug-83,4.392921
9-Aug-83,0
10-Aug-83,10.339
11-Aug-83,7.817829
12-Aug-83,2.927161
13-Aug-83,0
14-Aug-83,0
15-Aug-83,5.57842
16-Aug-83,6.369654
17-Aug-83,0
18-Aug-83,4.894484
19-Aug-83,11.67982
20-Aug-83,0
21-Aug-83,16.2758
22-Aug-83,0
23-Aug-83,2.856012
24-Aug-83,0
25-Aug-83,18.68262
26-Aug-83,7.472314
27-Aug-83,0
28-Aug-83,9.368254
29-Aug-83,1.502635
30-Aug-83,11.07965
31-Aug-83,0
1-Sep-83,4.227373
2-Sep-83,15.10769
3-Sep-83,12.63065
4-Sep-83,3.314142
5-Sep-83,2.944661
6-Sep-83,12.32724
7-Sep-83,5.312781
8-Sep-83,0
9-Sep-83,0
10-Sep-83,9.637016
11-Sep-83,5.147169
12-Sep-83,14.88987
13-Sep-83,7.067985
15-Sep-83,7.417584
16-Sep-83,4.879999
17-Sep-83,8.691232
18-Sep-83,5.397376
19-Sep-83,14.21611
20-Sep-83,5.37141
21-Sep-83,5.717717
22-Sep-83,4.663871
23-Sep-83,6.03837
24-Sep-83,0
25-Sep-83,0
26-Sep-83,4.078795
27-Sep-83,8.250439
28-Sep-83,0
